Date,Close/Last,Volume,Open,High,Low
04/27/2026,$154.10,4077005,$155.53,$156.65,$154.00
04/24/2026,$155.44,5364948,$155.93,$156.28,$154.66
04/23/2026,$155.70,6077621,$155.155,$156.61,$154.57
04/22/2026,$153.79,5921320,$155.075,$157.22,$153.55
04/21/2026,$154.92,6357256,$156.74,$157.04,$153.73
04/20/2026,$156.99,5731013,$158.74,$158.84,$155.84
04/17/2026,$157.67,7799930,$158.255,$160.025,$156.47
04/16/2026,$158.38,10422050,$155.54,$159.79,$154.2627
04/15/2026,$154.85,7684834,$155.02,$155.7599,$153.34
04/14/2026,$155.72,5655766,$154.51,$156.625,$154.29
04/13/2026,$155.88,5827814,$156.99,$157.03,$154.95
04/10/2026,$157.06,4412742,$157.16,$157.79,$156.325
04/09/2026,$157.49,4339799,$153.70,$158.01,$153.25
04/08/2026,$154.80,6878878,$151.88,$154.82,$151.7528
04/07/2026,$153.21,5151133,$156.18,$156.54,$152.572
04/06/2026,$156.73,3562848,$156.41,$156.86,$155.40
04/02/2026,$157.01,5409982,$154.66,$157.06,$154.2187
04/01/2026,$154.65,5412574,$153.55,$155.15,$153.26
03/31/2026,$155.29,8033786,$157.67,$157.67,$154.17
03/30/2026,$156.82,10386800,$153.82,$158.39,$153.3701
03/27/2026,$153.04,6663855,$151.14,$154.54,$150.47
03/26/2026,$150.83,5677124,$151.93,$153.15,$150.67
03/25/2026,$151.73,4978532,$151.295,$151.84,$149.03
03/24/2026,$150.59,5804024,$150.45,$152.575,$150.195
03/23/2026,$150.88,6783206,$152.30,$152.30,$149.94
03/20/2026,$150.04,14480710,$152.45,$153.41,$149.34
03/19/2026,$152.74,5555526,$153.745,$154.68,$152.66
03/18/2026,$153.54,5124370,$155.25,$156.12,$153.29
03/17/2026,$156.50,5460242,$158.83,$159.11,$156.29
03/16/2026,$157.72,4498710,$161.36,$161.58,$157.54
03/13/2026,$159.88,4676821,$159.78,$161.51,$159.24
03/12/2026,$158.86,6165981,$158.87,$161.54,$158.69
03/11/2026,$160.15,4360726,$160.31,$160.905,$157.89
03/10/2026,$160.78,5341336,$160.70,$162.86,$159.59
03/09/2026,$161.53,6415969,$159.17,$162.43,$158.095
03/06/2026,$159.43,5938308,$158.25,$159.53,$156.085
03/05/2026,$160.70,7133688,$162.16,$163.40,$160.16
03/04/2026,$163.92,6855436,$165.04,$165.93,$163.37
03/03/2026,$164.91,6718114,$166.54,$167.22,$163.67
03/02/2026,$167.28,7263987,$169.045,$169.54,$167.14
02/27/2026,$169.74,10585170,$168.38,$170.28,$167.82
02/26/2026,$167.58,7219301,$169.63,$170.06,$167.16
02/25/2026,$169.17,6832706,$168.61,$169.50,$166.00
02/24/2026,$169.54,6319783,$168.23,$169.785,$167.7701
02/23/2026,$168.32,6801623,$164.49,$168.81,$164.24
02/20/2026,$164.94,4811816,$164.65,$164.97,$163.02
02/19/2026,$164.59,6155811,$164.39,$165.05,$163.1311
02/18/2026,$164.39,7239829,$161.79,$164.53,$160.6321
02/17/2026,$161.92,8749818,$166.12,$167.54,$160.81
02/13/2026,$165.94,9286336,$167.20,$167.88,$164.995
02/12/2026,$167.20,9516273,$169.755,$171.48,$167.09
02/11/2026,$169.15,6733819,$167.65,$170.27,$166.02
02/10/2026,$166.97,10352920,$165.75,$167.4074,$163.74
02/09/2026,$166.47,10316240,$169.50,$169.93,$164.9415
02/06/2026,$170.49,10960440,$167.45,$170.75,$167.255
02/05/2026,$167.53,11038830,$166.51,$168.01,$165.25
02/04/2026,$166.18,13322900,$164.89,$167.94,$164.17
02/03/2026,$162.85,19096430,$156.60,$163.44,$155.5001
02/02/2026,$155.20,14660510,$154.06,$156.62,$153.19
01/30/2026,$153.63,12641260,$149.01,$153.89,$148.59
01/29/2026,$148.69,9062259,$148.835,$150.86,$148.44
01/28/2026,$148.50,5954075,$148.41,$150.04,$147.76
01/27/2026,$148.78,7114901,$145.75,$148.82,$145.33
01/26/2026,$145.87,6589570,$144.80,$145.92,$144.14
01/23/2026,$144.58,5870098,$143.86,$144.84,$143.06
01/22/2026,$144.40,8167356,$146.68,$147.13,$144.17
01/21/2026,$146.74,7679571,$147.05,$148.01,$144.94
01/20/2026,$147.66,9982823,$146.215,$147.66,$144.32
01/16/2026,$146.32,10313490,$147.16,$147.55,$145.51
01/15/2026,$146.57,5797798,$146.06,$147.017,$145.53
01/14/2026,$145.92,8329463,$143.14,$146.30,$143.136
01/13/2026,$143.48,9030241,$141.10,$143.65,$141.04
01/12/2026,$141.36,12223440,$139.91,$141.51,$138.56
01/09/2026,$139.91,6767560,$139.44,$140.79,$138.70
01/08/2026,$139.37,8762824,$136.57,$139.48,$136.01
01/07/2026,$137.01,8539847,$139.215,$139.8299,$136.955
01/06/2026,$138.96,9576481,$139.68,$140.0574,$138.565
01/05/2026,$139.92,9031377,$141.66,$141.81,$139.40
01/02/2026,$142.23,7182054,$143.22,$143.41,$142.10
12/31/2025,$143.52,4380343,$143.825,$144.03,$143.16
12/30/2025,$144.16,4713783,$143.97,$145.27,$143.92
12/29/2025,$144.24,7201890,$143.74,$145.05,$143.60
12/26/2025,$143.78,4975533,$143.56,$143.94,$143.09
12/24/2025,$143.74,2618700,$143.79,$143.99,$142.95
12/23/2025,$143.68,7254772,$147.19,$147.19,$143.56
12/22/2025,$147.05,8818726,$147.525,$148.98,$146.41
12/19/2025,$148.16,17543520,$149.145,$149.8929,$147.90
12/18/2025,$149.37,6643173,$149.80,$150.37,$149.25
12/17/2025,$150.08,8067133,$150.38,$151.24,$149.48
12/16/2025,$150.37,7520334,$151.985,$152.35,$149.985
12/15/2025,$151.22,8409625,$150.935,$151.70,$150.28
12/12/2025,$150.65,8143100,$149.75,$150.67,$148.74
12/11/2025,$149.04,7854008,$150.15,$150.89,$148.13
12/10/2025,$149.70,18526430,$147.77,$149.78,$147.00
12/09/2025,$144.64,10035180,$146.35,$147.56,$143.91
12/08/2025,$145.63,6327412,$145.01,$146.56,$144.20
12/05/2025,$145.02,5971510,$145.62,$145.80,$144.51
12/04/2025,$146.91,6802969,$147.75,$148.25,$146.13
12/03/2025,$148.06,5109218,$148.69,$150.70,$147.91
12/02/2025,$148.61,6830290,$149.46,$149.51,$146.53
12/01/2025,$149.51,7623275,$148.625,$149.82,$148.51
11/28/2025,$148.74,2969300,$147.23,$148.82,$147.23
11/26/2025,$147.98,5180946,$146.32,$148.47,$146.2272
11/25/2025,$146.11,8953952,$145.93,$147.12,$145.57
11/24/2025,$145.50,9391443,$145.83,$146.34,$144.76
11/21/2025,$146.33,7911761,$146.28,$148.935,$145.98
11/20/2025,$146.10,6878914,$146.60,$147.08,$144.90
11/19/2025,$147.11,8123236,$148.30,$148.80,$146.69
11/18/2025,$148.77,10821530,$148.30,$149.8292,$147.45
11/17/2025,$147.83,7320150,$146.12,$148.105,$145.22
11/14/2025,$145.85,5770478,$145.89,$146.84,$143.93
11/13/2025,$145.02,6663264,$144.10,$146.39,$143.65
11/12/2025,$144.39,5790488,$144.56,$145.495,$144.06
11/11/2025,$145.08,7683573,$143.28,$145.76,$142.68
11/10/2025,$142.62,6617494,$142.49,$143.02,$141.26
11/07/2025,$142.95,7592652,$142.93,$144.05,$141.65
11/06/2025,$141.58,6449386,$142.41,$143.205,$141.30
11/05/2025,$142.86,7136424,$142.90,$143.28,$141.58
11/04/2025,$142.90,8302941,$144.70,$144.93,$142.06
11/03/2025,$143.60,8331545,$145.86,$145.91,$143.25
10/31/2025,$146.09,6313592,$146.20,$147.00,$145.30
10/30/2025,$147.55,5752708,$146.34,$148.09,$146.25
10/29/2025,$146.16,7767556,$148.05,$148.6648,$143.67
10/28/2025,$150.12,5626528,$151.41,$153.2105,$149.92
10/27/2025,$152.63,4744578,$151.01,$152.87,$150.96
10/24/2025,$151.55,3580182,$152.04,$152.415,$151.265
10/23/2025,$151.51,6091762,$153.17,$153.40,$151.03
10/22/2025,$153.03,6485959,$153.15,$155.18,$152.71
10/21/2025,$153.18,5614266,$154.70,$155.19,$152.84
10/20/2025,$153.64,4810592,$154.42,$154.42,$152.715
10/17/2025,$153.71,6710141,$153.77,$153.91,$151.735
10/16/2025,$152.67,8532889,$152.38,$154.375,$152.29
10/15/2025,$151.16,6101096,$151.33,$152.39,$149.17
10/14/2025,$151.54,8371136,$148.69,$151.62,$148.50
10/13/2025,$148.89,7271983,$148.65,$149.98,$147.34
10/10/2025,$150.08,17545160,$145.63,$150.815,$145.00
10/09/2025,$144.71,13706630,$140.46,$144.74,$138.59
10/08/2025,$138.84,8256741,$140.79,$140.98,$138.69
10/07/2025,$140.79,6110309,$140.37,$141.84,$139.69
10/06/2025,$139.70,6750712,$141.77,$141.85,$138.88
10/03/2025,$141.98,5425725,$142.265,$143.36,$141.86
10/02/2025,$142.31,4497315,$141.89,$143.25,$141.37
10/01/2025,$143.14,5880796,$140.81,$143.37,$140.48
09/30/2025,$140.44,7583411,$140.17,$141.025,$139.8301
09/29/2025,$140.17,11930250,$140.44,$140.67,$139.1242
09/26/2025,$140.44,6224693,$139.94,$140.99,$139.85
09/25/2025,$139.92,7101666,$143.00,$143.42,$139.86
09/24/2025,$142.17,5949145,$141.81,$142.34,$141.015
09/23/2025,$141.90,6356489,$141.035,$142.23,$139.96
09/22/2025,$141.03,5797558,$141.08,$141.52,$139.9395
09/19/2025,$141.76,12365530,$141.46,$142.08,$140.46
09/18/2025,$140.73,6106557,$140.635,$141.63,$140.3901
09/17/2025,$141.23,6092884,$140.17,$142.045,$140.15
09/16/2025,$140.03,9283480,$140.69,$141.31,$139.91
09/15/2025,$140.64,7279639,$143.395,$143.53,$140.5312
09/12/2025,$143.53,5714114,$144.07,$144.245,$142.90
09/11/2025,$144.23,6144363,$142.89,$144.75,$142.50
09/10/2025,$142.66,6015122,$142.23,$143.11,$141.42
09/09/2025,$143.10,5866442,$141.18,$143.63,$141.10
09/08/2025,$141.71,11127620,$145.72,$145.72,$140.345
09/05/2025,$146.39,7186260,$146.00,$147.88,$145.28
09/04/2025,$146.89,6342232,$149.02,$149.47,$146.45
09/03/2025,$148.64,11259200,$149.95,$150.46,$147.11
09/02/2025,$150.28,17348610,$157.44,$157.80,$150.21
08/29/2025,$148.65,7760710,$147.10,$149.22,$146.87
08/28/2025,$146.98,9265077,$147.96,$148.035,$146.233
08/27/2025,$147.64,8092909,$147.00,$147.79,$146.31
08/26/2025,$147.00,11208150,$147.50,$148.25,$145.81
08/25/2025,$148.20,6624298,$148.425,$148.82,$147.58
08/22/2025,$149.64,5218019,$149.65,$151.18,$149.09
08/21/2025,$148.98,8153618,$150.325,$150.325,$148.595
08/20/2025,$150.73,10023470,$153.21,$154.61,$148.69
08/19/2025,$152.16,8596943,$150.00,$152.325,$149.86
08/18/2025,$149.55,9900999,$150.55,$150.55,$148.92
08/15/2025,$150.40,9162178,$149.39,$151.10,$148.49
08/14/2025,$148.62,6892466,$149.035,$149.50,$148.05
08/13/2025,$149.35,6147005,$146.885,$149.54,$146.85
08/12/2025,$146.87,7670149,$145.55,$147.01,$144.715
08/11/2025,$144.87,5773384,$145.32,$145.60,$143.745
08/08/2025,$145.21,5315087,$143.92,$145.365,$143.80
08/07/2025,$143.92,7674642,$141.24,$144.31,$140.48
08/06/2025,$140.80,6747448,$139.90,$141.58,$139.36
08/05/2025,$139.45,5535084,$139.60,$140.345,$139.26
